(Epoch 0 / 14)
(Iteration 0 / 490) loss:0.230249
(Iteration 1 / 490) loss:0.230263
(Iteration 2 / 490) loss:0.229933
(Iteration 3 / 490) loss:0.229966
(Iteration 4 / 490) loss:0.229836
(Iteration 5 / 490) loss:0.228977
(Iteration 6 / 490) loss:0.230166
(Iteration 7 / 490) loss:0.229293
(Iteration 8 / 490) loss:0.229701
(Iteration 9 / 490) loss:0.229859
(Iteration 10 / 490) loss:0.229527
(Iteration 11 / 490) loss:0.228765
(Iteration 12 / 490) loss:0.227987
(Iteration 13 / 490) loss:0.22706
(Iteration 14 / 490) loss:0.227344
(Iteration 15 / 490) loss:0.228356
(Iteration 16 / 490) loss:0.226526
(Iteration 17 / 490) loss:0.2266
(Iteration 18 / 490) loss:0.230789
(Iteration 19 / 490) loss:0.226872
(Iteration 20 / 490) loss:0.228162
(Iteration 21 / 490) loss:0.224113
(Iteration 22 / 490) loss:0.226699
(Iteration 23 / 490) loss:0.222142
(Iteration 24 / 490) loss:0.222134
(Iteration 25 / 490) loss:0.225436
(Iteration 26 / 490) loss:0.222857
(Iteration 27 / 490) loss:0.222192
(Iteration 28 / 490) loss:0.220512
(Iteration 29 / 490) loss:0.223028
(Iteration 30 / 490) loss:0.221536
(Iteration 31 / 490) loss:0.221791
(Iteration 32 / 490) loss:0.219337
(Iteration 33 / 490) loss:0.218935
(Iteration 34 / 490) loss:0.220944
(Iteration 35 / 490) loss:0.219108
(Iteration 36 / 490) loss:0.219567
(Iteration 37 / 490) loss:0.218042
(Iteration 38 / 490) loss:0.216102
(Iteration 39 / 490) loss:0.221126
(Iteration 40 / 490) loss:0.2207
(Iteration 41 / 490) loss:0.217747
(Iteration 42 / 490) loss:0.221607
(Iteration 43 / 490) loss:0.216273
(Iteration 44 / 490) loss:0.22042
(Iteration 45 / 490) loss:0.215915
(Iteration 46 / 490) loss:0.211994
(Iteration 47 / 490) loss:0.212056
(Iteration 48 / 490) loss:0.214661
(Iteration 49 / 490) loss:0.220268
(Iteration 50 / 490) loss:0.215829
(Iteration 51 / 490) loss:0.224866
(Iteration 52 / 490) loss:0.218256
(Iteration 53 / 490) loss:0.208028
(Iteration 54 / 490) loss:0.215987
(Iteration 55 / 490) loss:0.20959
(Iteration 56 / 490) loss:0.204105
(Iteration 57 / 490) loss:0.223888
(Iteration 58 / 490) loss:0.213891
(Iteration 59 / 490) loss:0.210745
(Iteration 60 / 490) loss:0.210577
(Iteration 61 / 490) loss:0.209554
(Iteration 62 / 490) loss:0.214175
(Iteration 63 / 490) loss:0.215056
(Iteration 64 / 490) loss:0.217896
(Iteration 65 / 490) loss:0.210502
(Iteration 66 / 490) loss:0.213276
(Iteration 67 / 490) loss:0.207793
(Iteration 68 / 490) loss:0.220409
(Iteration 69 / 490) loss:0.217328
(Iteration 70 / 490) loss:0.213634
(Iteration 71 / 490) loss:0.213963
(Iteration 72 / 490) loss:0.206216
(Iteration 73 / 490) loss:0.211699
(Iteration 74 / 490) loss:0.207482
(Iteration 75 / 490) loss:0.217815
(Iteration 76 / 490) loss:0.214453
(Iteration 77 / 490) loss:0.207407
(Iteration 78 / 490) loss:0.212039
(Iteration 79 / 490) loss:0.206687
(Iteration 80 / 490) loss:0.200484
(Iteration 81 / 490) loss:0.207373
(Iteration 82 / 490) loss:0.2109
(Iteration 83 / 490) loss:0.210315
(Iteration 84 / 490) loss:0.217132
(Iteration 85 / 490) loss:0.207744
(Iteration 86 / 490) loss:0.209679
(Iteration 87 / 490) loss:0.209923
(Iteration 88 / 490) loss:0.2041
(Iteration 89 / 490) loss:0.222269
(Iteration 90 / 490) loss:0.214346
(Iteration 91 / 490) loss:0.200254
(Iteration 92 / 490) loss:0.20528
(Iteration 93 / 490) loss:0.204379
(Iteration 94 / 490) loss:0.212399
(Iteration 95 / 490) loss:0.210069
(Iteration 96 / 490) loss:0.202721
(Iteration 97 / 490) loss:0.211798
(Iteration 98 / 490) loss:0.200441
(Iteration 99 / 490) loss:0.210407
(Iteration 100 / 490) loss:0.21007
(Iteration 101 / 490) loss:0.216136
(Iteration 102 / 490) loss:0.210332
(Iteration 103 / 490) loss:0.197544
(Iteration 104 / 490) loss:0.217339
(Iteration 105 / 490) loss:0.209653
(Iteration 106 / 490) loss:0.199317
(Iteration 107 / 490) loss:0.202325
(Iteration 108 / 490) loss:0.204687
(Iteration 109 / 490) loss:0.209514
(Iteration 110 / 490) loss:0.200842
(Iteration 111 / 490) loss:0.204235
(Iteration 112 / 490) loss:0.199769
(Iteration 113 / 490) loss:0.213445
(Iteration 114 / 490) loss:0.213255
(Iteration 115 / 490) loss:0.202165
(Iteration 116 / 490) loss:0.201947
(Iteration 117 / 490) loss:0.202019
(Iteration 118 / 490) loss:0.217026
(Iteration 119 / 490) loss:0.207322
(Iteration 120 / 490) loss:0.202463
(Iteration 121 / 490) loss:0.195634
(Iteration 122 / 490) loss:0.20938
(Iteration 123 / 490) loss:0.202276
(Iteration 124 / 490) loss:0.205873
(Iteration 125 / 490) loss:0.210886
(Iteration 126 / 490) loss:0.200742
(Iteration 127 / 490) loss:0.207585
(Iteration 128 / 490) loss:0.196722
(Iteration 129 / 490) loss:0.21038
(Iteration 130 / 490) loss:0.200351
(Iteration 131 / 490) loss:0.213783
(Iteration 132 / 490) loss:0.204204
(Iteration 133 / 490) loss:0.202444
(Iteration 134 / 490) loss:0.206632
(Iteration 135 / 490) loss:0.202979
(Iteration 136 / 490) loss:0.195832
(Iteration 137 / 490) loss:0.201114
(Iteration 138 / 490) loss:0.19945
(Iteration 139 / 490) loss:0.208556
(Iteration 140 / 490) loss:0.201468
(Iteration 141 / 490) loss:0.211425
(Iteration 142 / 490) loss:0.202429
(Iteration 143 / 490) loss:0.21127
(Iteration 144 / 490) loss:0.209036
(Iteration 145 / 490) loss:0.194136
(Iteration 146 / 490) loss:0.207919
(Iteration 147 / 490) loss:0.207564
(Iteration 148 / 490) loss:0.193822
(Iteration 149 / 490) loss:0.219312
(Iteration 150 / 490) loss:0.205217
(Iteration 151 / 490) loss:0.209453
(Iteration 152 / 490) loss:0.198646
(Iteration 153 / 490) loss:0.20622
(Iteration 154 / 490) loss:0.206581
(Iteration 155 / 490) loss:0.208053
(Iteration 156 / 490) loss:0.200543
(Iteration 157 / 490) loss:0.205597
(Iteration 158 / 490) loss:0.206313
(Iteration 159 / 490) loss:0.211409
(Iteration 160 / 490) loss:0.195849
(Iteration 161 / 490) loss:0.196579
(Iteration 162 / 490) loss:0.199382
(Iteration 163 / 490) loss:0.206912
(Iteration 164 / 490) loss:0.198282
(Iteration 165 / 490) loss:0.205006
(Iteration 166 / 490) loss:0.206118
(Iteration 167 / 490) loss:0.202245
(Iteration 168 / 490) loss:0.213373
(Iteration 169 / 490) loss:0.194937
(Iteration 170 / 490) loss:0.207282
(Iteration 171 / 490) loss:0.209714
(Iteration 172 / 490) loss:0.203634
(Iteration 173 / 490) loss:0.20226
(Iteration 174 / 490) loss:0.206192
(Iteration 175 / 490) loss:0.210213
(Iteration 176 / 490) loss:0.206477
(Iteration 177 / 490) loss:0.201876
(Iteration 178 / 490) loss:0.198845
(Iteration 179 / 490) loss:0.194706
(Iteration 180 / 490) loss:0.197458
(Iteration 181 / 490) loss:0.207852
(Iteration 182 / 490) loss:0.194153
(Iteration 183 / 490) loss:0.207645
(Iteration 184 / 490) loss:0.20341
(Iteration 185 / 490) loss:0.192554
(Iteration 186 / 490) loss:0.204142
(Iteration 187 / 490) loss:0.193504
(Iteration 188 / 490) loss:0.197787
(Iteration 189 / 490) loss:0.202067
(Iteration 190 / 490) loss:0.20287
(Iteration 191 / 490) loss:0.188617
(Iteration 192 / 490) loss:0.210017
(Iteration 193 / 490) loss:0.209235
(Iteration 194 / 490) loss:0.187537
(Iteration 195 / 490) loss:0.197459
(Iteration 196 / 490) loss:0.198339
(Iteration 197 / 490) loss:0.198386
(Iteration 198 / 490) loss:0.193288
(Iteration 199 / 490) loss:0.205261
(Iteration 200 / 490) loss:0.196934
(Iteration 201 / 490) loss:0.193741
(Iteration 202 / 490) loss:0.204564
(Iteration 203 / 490) loss:0.195129
(Iteration 204 / 490) loss:0.192471
(Iteration 205 / 490) loss:0.202507
(Iteration 206 / 490) loss:0.194911
(Iteration 207 / 490) loss:0.203621
(Iteration 208 / 490) loss:0.186187
(Iteration 209 / 490) loss:0.190971
(Iteration 210 / 490) loss:0.207236
(Iteration 211 / 490) loss:0.198133
(Iteration 212 / 490) loss:0.187613
(Iteration 213 / 490) loss:0.209652
(Iteration 214 / 490) loss:0.19099
(Iteration 215 / 490) loss:0.194272
(Iteration 216 / 490) loss:0.192022
(Iteration 217 / 490) loss:0.192147
(Iteration 218 / 490) loss:0.204551
(Iteration 219 / 490) loss:0.19935
(Iteration 220 / 490) loss:0.192045
(Iteration 221 / 490) loss:0.199967
(Iteration 222 / 490) loss:0.207219
(Iteration 223 / 490) loss:0.194101
(Iteration 224 / 490) loss:0.197538
(Iteration 225 / 490) loss:0.190486
(Iteration 226 / 490) loss:0.187311
(Iteration 227 / 490) loss:0.198437
(Iteration 228 / 490) loss:0.195615
(Iteration 229 / 490) loss:0.211028
(Iteration 230 / 490) loss:0.196777
(Iteration 231 / 490) loss:0.183524
(Iteration 232 / 490) loss:0.195422
(Iteration 233 / 490) loss:0.184072
(Iteration 234 / 490) loss:0.193312
(Iteration 235 / 490) loss:0.191938
(Iteration 236 / 490) loss:0.183017
(Iteration 237 / 490) loss:0.198736
(Iteration 238 / 490) loss:0.187447
(Iteration 239 / 490) loss:0.203384
(Iteration 240 / 490) loss:0.19549
(Iteration 241 / 490) loss:0.182589
(Iteration 242 / 490) loss:0.195761
(Iteration 243 / 490) loss:0.200127
(Iteration 244 / 490) loss:0.186615
(Iteration 245 / 490) loss:0.19253
(Iteration 246 / 490) loss:0.189556
(Iteration 247 / 490) loss:0.191496
(Iteration 248 / 490) loss:0.213087
(Iteration 249 / 490) loss:0.193385
(Iteration 250 / 490) loss:0.197047
(Iteration 251 / 490) loss:0.18332
(Iteration 252 / 490) loss:0.193278
(Iteration 253 / 490) loss:0.189121
(Iteration 254 / 490) loss:0.199277
(Iteration 255 / 490) loss:0.193314
(Iteration 256 / 490) loss:0.199189
(Iteration 257 / 490) loss:0.200221
(Iteration 258 / 490) loss:0.200672
(Iteration 259 / 490) loss:0.191267
